manufacturer_name,model_name,transmission,body_type,production_year,number_of_seat,odometer_value,color_body,engine_fuel,engine_type,engine_capacity,drivetrain,price,url
Honda,civic,Số tự động,Sedan,2008,5,160000,Trắng,Xăng,,,FWD - Dẫn động cầu trước,358000000,http://oto.com.vn/mua-ban-xe-honda-civic-quang-nam/ban-xe-gia-dinh-su-dung-xe-cuc-dep-khong-loi-aidxc2464664
Toyota,alphard,Số tự động,Van/Minivan,2017,7,14000,Đen,Xăng,,,FWD - Dẫn động cầu trước,4.2e+09,http://oto.com.vn/mua-ban-xe-toyota-alphard-hcm/ban-35l-v6-san-xuat-2017-model-2018-mr-huan-0981010161-aid2231268
Ford,ranger,Số tay,Pick-up Truck,2004,5,,Hai màu,Diesel,,,4WD - Dẫn động 4 bánh,168000000,http://oto.com.vn/mua-ban-xe-ford-ranger-phu-tho/ban-xlt-doi-2004-xe-nhap-aidxc2459154
Toyota,innova,Số tay,MPV,2012,8,102000,Bạc,,,,,490000000,http://oto.com.vn/mua-ban-xe-toyota-innova-hcm/ban-20-e-gia-thoa-thuan-aidxc2477701
LandRover,range-rover,Số tự động,SUV,2015,5,21000,Đen,Xăng,,,AWD - 4 bánh toàn thời gian,5.05e+09,http://oto.com.vn/mua-ban-xe-landrover-range-rover-ha-noi/ban-hse-san-xuat-2015-ten-cong-ty-xuat-hoa-don-lh-mr-huan-0981010161-aid2331795
Hyundai,tucson,Số tự động,SUV,2014,5,76000,Bạc,Xăng,,,FWD - Dẫn động cầu trước,616000000,http://oto.com.vn/mua-ban-xe-hyundai-tucson-hcm/ban-doi-2014-mau-bac-nhap-khau-nguyen-chiec-so-tu-dong-gia-canh-tranh-aidxc2500962
Lexus,lx,Số tự động,SUV,2016,7,30000,Đen,Xăng,,,,6.75e+09,http://oto.com.vn/mua-ban-xe-lexus-lx-ha-noi/ban-570-san-xuat-2016-da-qua-su-dung-xe-nhap-trung-dong-aid1775213
Nissan,370z,Số tự động,Truck,2015,2,150000,Trắng,Diesel,,,RFD - Dẫn động cầu sau,1080000000,http://oto.com.vn/mua-ban-xe-nissan-370z-binh-duong/sale-lon-don-tet-cho-xe-dau-keo-ud-2015-chot-ngay-xe-tot-dang-cho-aidxc2465849
Mercedes-Benz,sprinter,,Van/Minivan,2008,16,300000,Bạc,Diesel,,,,300100000,http://oto.com.vn/mua-ban-xe-mercedes-benz-sprinter-ha-tinh/ban-o-to-mercedes-doi-2008-mau-bac-nhap-khau-nguyen-chiec-lien-he-0969858869-aidxc2464945
Ford,ecosport,Số tự động,SUV,2015,5,68000,Nâu,Xăng,,,FWD - Dẫn động cầu trước,455000000,http://oto.com.vn/mua-ban-xe-ford-ecosport-binh-duong/can-ban-xe-doi-2015-mau-nau-aidxc2500941
Hyundai,grand-i10,Số tay,Hatchback,2016,5,50000,Trắng,,,,,289000000,http://oto.com.vn/mua-ban-xe-hyundai-grand-i10-ha-noi/can-ban-gap-nam-2016-mau-trang-nhap-khau-aidxc2492722
Hyundai,santa-fe,Số hỗn hợp,SUV,2017,7,11000,Bạc,Diesel,,,4WD - Dẫn động 4 bánh,1060000000,http://oto.com.vn/mua-ban-xe-hyundai-santa-fe-hcm/ban-22-may-dau-ban-full-hai-cau-san-xuat-2017-mau-bac-aid2412065
LandRover,range-rover,Số tự động,SUV,2015,5,30000,Đen,Xăng,,,AWD - 4 bánh toàn thời gian,7.95e+09,http://oto.com.vn/mua-ban-xe-landrover-range-rover-hcm/ban-o-to-autobiography-black-edition-2015-mr-huan-0981010161-aid2209819
Ford,everest,Số tự động,SUV,2011,7,79000,Xám (ghi),Diesel,,,RFD - Dẫn động cầu sau,515000000,http://oto.com.vn/mua-ban-xe-ford-everest-hcm/ban-25at-san-xuat-nam-2011-mau-xam-gia-chi-530-trieu-thuong-luong-aid2303110
Ssangyong,tivoli,Số tự động,SUV,2017,7,39000,Bạc,Loại khác,,,FWD - Dẫn động cầu trước,495000000,http://oto.com.vn/mua-ban-xe-ssangyong-tivoli-hcm/ban-doi-2017-mau-bac-nhap-khau-so-tu-dong-gia-canh-tranh-aidxc2500870
Cadillac,escalade,Số tự động,SUV,2016,7,20000,Đen,Xăng,,,AWD - 4 bánh toàn thời gian,6.35e+09,http://oto.com.vn/mua-ban-xe-cadillac-escalade-ha-noi/ban-esv-platinium-san-xuat-nam-2016-mau-den-xe-nhap-lien-he-0983222223-aidxc2462869
Chevrolet,aveo,Số tay,Sedan,2017,5,50000,Đỏ,Xăng,,,FWD - Dẫn động cầu trước,285000000,http://oto.com.vn/mua-ban-xe-chevrolet-aveo-ha-noi/can-ban-san-xuat-nam-2017-mau-do-so-san-aidxc2461088
Toyota,vios,Số tay,Sedan,2010,5,98500,Bạc,Xăng,,,FWD - Dẫn động cầu trước,300000000,http://oto.com.vn/mua-ban-xe-toyota-vios-phu-tho/can-ban-xe-e-doi-2010-mau-bac-aidxc2485031
Toyota,yaris,Số tự động,Sedan,2010,5,60000,Bạc,Xăng,,,FWD - Dẫn động cầu trước,370000000,http://oto.com.vn/mua-ban-xe-toyota-yaris-ha-noi/ban-sedan-13at-2010-sieu-moi-aidxc2501899
Toyota,camry,Số tự động,Sedan,2015,5,78000,Bạc,Xăng,,,FWD - Dẫn động cầu trước,910000000,http://oto.com.vn/mua-ban-xe-toyota-camry-hcm/25g-nam-2015-ho-tro-chi-phi-sang-ten-giam-gia-soc-aid2410437
Hyundai,tucson,Số tự động,SUV,2014,5,76000,Bạc,Xăng,,,FWD - Dẫn động cầu trước,616000000,http://oto.com.vn/mua-ban-xe-hyundai-tucson-hcm/ban-doi-2014-mau-bac-xe-nhap-616-trieu-aidxc2500874
Toyota,innova,Số tay,MPV,2012,8,85000,Vàng,Xăng,,,RFD - Dẫn động cầu sau,355000000,http://oto.com.vn/mua-ban-xe-toyota-innova-ha-noi/ban-20-e-2012-mau-vang-gia-chi-355-trieu-lien-he-0862326693-aidxc2434406
Rolls-Royce,phantom,Số tự động,Sedan,2011,4,30000,Đen,Xăng,,,AWD - 4 bánh toàn thời gian,1.79e+10,http://oto.com.vn/mua-ban-xe-rolls-royce-phantom-ha-noi/ewb-ban-gioi-han-ky-niem-100-nam-thanh-lap-aid2373434
Chevrolet,cruze,Số tay,Sedan,2012,5,60000,Đen,Xăng,,,FWD - Dẫn động cầu trước,305000000,http://oto.com.vn/mua-ban-xe-chevrolet-cruze-ha-noi/ban-nam-2012-mau-den-1-chu-xe-xuat-sac-cam-ket-chat-luong-aid2385613
Hyundai,getz,Số tay,Hatchback,2010,5,109845,Bạc,Xăng,,,FWD - Dẫn động cầu trước,165000000,http://oto.com.vn/mua-ban-xe-hyundai-getz-phu-tho/can-ban-lai-xe-doi-2010-mau-bac-nhap-khau-nguyen-chiec-gia-chi-165-trieu-dong-aidxc2494214
Toyota,land-cruiser,,SUV,2014,7,61000,Đen,,,,,3.88e+09,http://oto.com.vn/mua-ban-xe-toyota-land-cruiser-ha-noi/ban-san-xuat-2014-mau-den-nhap-khau-call-ngay-0987833007-aid2403435
Lexus,es,Số tự động,Sedan,2017,5,30000,Vàng,Xăng,,,,1935000000,http://oto.com.vn/mua-ban-xe-lexus-es-ha-noi/ban-250-2017-da-qua-su-dung-di-30000km-aidxc2475617
LandRover,evoque,,SUV,2018,5,6500,Đỏ,Xăng,,,,2.65e+09,http://oto.com.vn/mua-ban-xe-landrover-evoque-ha-noi/can-ban-lai-xe-doi-2018-mau-do-xe-gia-dinh-gia-tot-2-ty-650-trieu-dong-aidxc2501458
Toyota,camry,Số tự động,Sedan,2016,5,36000,Đen,Xăng,,,FWD - Dẫn động cầu trước,980000000,http://oto.com.vn/mua-ban-xe-toyota-camry-hcm/ban-25q-2016-mau-den-vip-xe-su-dung-ky-con-qua-moi-aid2418331
Toyota,camry,Số tự động,Sedan,2016,5,36000,Đen,Xăng,,,FWD - Dẫn động cầu trước,980000000,http://oto.com.vn/mua-ban-xe-toyota-camry-hcm/ban-25q-2016-mau-den-vip-xe-su-dung-ky-con-qua-moi-aid2418331
Toyota,fortuner,Số tự động,SUV,2019,7,7000,Xám (ghi),Diesel,,,RFD - Dẫn động cầu sau,1030000000,http://oto.com.vn/mua-ban-xe-toyota-fortuner-hcm/ban-24at-2019-so-tu-dong-may-dau-mau-xam-gia-re-aidxc2499881
Rolls-Royce,phantom,Số tự động,Sedan,2011,4,30000,Đen,Xăng,,,AWD - 4 bánh toàn thời gian,1.79e+10,http://oto.com.vn/mua-ban-xe-rolls-royce-phantom-ha-noi/ewb-ban-gioi-han-ky-niem-100-nam-thanh-lap-aid2373434
Chevrolet,spark,Số tự động,Hatchback,2011,2,,Cam,Xăng,,,,149000000,http://oto.com.vn/mua-ban-xe-chevrolet-spark-binh-thuan/can-ban-nam-2011-nhap-khau-han-quoc-aidxc2501155
Daewoo,gentra,Số tay,Sedan,2009,5,,Đen,Xăng,,,,140000000,http://oto.com.vn/mua-ban-xe-daewoo-gentra-thai-nguyen/ban-doi-2009-xe-van-dang-su-dung-aidxc2501156
Toyota,innova,Số tay,MPV,2008,7,95000,Bạc,Xăng,,,FWD - Dẫn động cầu trước,350000000,http://oto.com.vn/mua-ban-xe-toyota-innova-binh-duong/xe-san-xuat-nam-2008-mau-bac-aidxc2499847
Ford,ranger,Số tự động,Pick-up Truck,2017,5,63000,Màu khác,Diesel,,,4WD - Dẫn động 4 bánh,750000000,http://oto.com.vn/mua-ban-xe-ford-ranger-hcm/ban-wildtrak-32l-doi-2017-mau-cam-xe-nhap-750tr-aidxc2453071
Mazda,2,Số tự động,Hatchback,2018,5,3000,Trắng,Xăng,,,,555000000,http://oto.com.vn/mua-ban-xe-mazda-2-hcm/ban-018-mau-trang-nhap-khau-nguyen-chiec-chinh-chu-aidxc2501389
Ford,transit,Số tay,Van/Minivan,2014,16,110000,Hồng,Diesel,,,,409000000,http://oto.com.vn/mua-ban-xe-ford-transit-hcm/ban-xe-standart-san-xuat-nam-2014-mau-hong-409-trieu-aidxc2490452
Mitsubishi,xpander,Số tay,MPV,2018,7,49000,Trắng,Xăng,,,FWD - Dẫn động cầu trước,558000000,http://oto.com.vn/mua-ban-xe-mitsubishi-xpander-hcm/can-ban-gap-2018-mau-trang-nhap-khau-nguyen-chiec-so-san-gia-558tr-aidxc2500755
Kia,sedona,Số tự động,MPV,2016,8,60000,Trắng,Xăng,,,,835000000,http://oto.com.vn/mua-ban-xe-kia-sedona-hcm/ban-xe-2016-mau-trang-nhap-khau-gia-chi-835-trieu-aidxc2500726
Kia,morning,,Hatchback,2011,5,,Xanh lam,Xăng,,,,169000000,http://oto.com.vn/mua-ban-xe-kia-morning-tay-ninh/ban-2011-mau-xanh-lam-nhap-khau-chinh-chu-aidxc2498675
Toyota,yaris,Số tự động,Hatchback,2017,5,30000,Đỏ,Xăng,,,FWD - Dẫn động cầu trước,583000000,http://oto.com.vn/mua-ban-xe-toyota-yaris-ha-noi/ban-g-2017-xe-dep-gia-tot-aidxc2449473
Toyota,yaris,Số tự động,Hatchback,2015,5,37000,Trắng,Xăng,,,FWD - Dẫn động cầu trước,495000000,http://oto.com.vn/mua-ban-xe-toyota-yaris-hcm/can-ban-xe-13g-sx-2015-mau-trang-nhap-thai-xem-xe-co-gia-tot-aidxc2468312
Toyota,fortuner,Số tự động,SUV,2012,7,120000,Bạc,Loại khác,,,RFD - Dẫn động cầu sau,600000000,http://oto.com.vn/mua-ban-xe-toyota-fortuner-hcm/ban-o-to-san-xuat-2012-mau-bac-so-tu-dong-aidxc2500612
LandRover,range-rover,Số tự động,SUV,2016,5,20000,Xanh lam,Xăng,,,AWD - 4 bánh toàn thời gian,4.75e+09,http://oto.com.vn/mua-ban-xe-landrover-range-rover-ha-noi/chinh-chu-ban-hse-30-v6-model-2016-dang-ky-2017-mot-chu-tu-dau-xanh-cavansite-kem-cuc-hiem-aidxc2493050
Chevrolet,captiva,Số tự động,CUV,2009,7,130000,Vàng,Loại khác,,,FWD - Dẫn động cầu trước,365000000,http://oto.com.vn/mua-ban-xe-chevrolet-captiva-binh-duong/ban-o-to-nam-2009-mau-vang-so-tu-dong-aidxc2501244
Toyota,corolla-altis,Số tự động,Sedan,2017,5,18000,Đen,Xăng,,,FWD - Dẫn động cầu trước,685000000,http://oto.com.vn/mua-ban-xe-toyota-corolla-altis-hcm/ban-xe-18g-2017-mau-den-lien-he-0913715808-thanh-aid2345959
Ford,everest,Số tay,SUV,2009,7,,Bạc,Diesel,,,,355000000,http://oto.com.vn/mua-ban-xe-ford-everest-gia-lai/ban-xe-cu-doi-2009-355-trieu-aidxc2501959
Kia,cerato,Số tự động,Sedan,2017,5,30000,Trắng,Xăng,,,,563000000,http://oto.com.vn/mua-ban-xe-kia-cerato-hcm/can-ban-xe-cu-san-xuat-nam-2017-so-tu-dong-aidxc2502305
Toyota,camry,,Sedan,1992,5,130000,Đen,,,,,170000000,http://oto.com.vn/mua-ban-xe-toyota-camry-can-tho/at-doi-1997-nhap-khau-nguyen-chiec-aidxc2484120
Toyota,prado,Số tự động,SUV,2016,7,40000,Đen,Xăng,,,4WD - Dẫn động 4 bánh,1815000000,http://oto.com.vn/mua-ban-xe-toyota-prado-ha-noi/can-ban-xe-2016-mau-den-xe-nhap-it-su-dung-aidxc2501197
Chevrolet,cruze,Số tay,Sedan,2018,5,54000,Đen,Xăng,,,,430000000,http://oto.com.vn/mua-ban-xe-chevrolet-cruze-hcm/ban-xe-cu-san-xuat-nam-2018-nhap-khau-aidxc2501976
Kia,morning,Số tự động,Hatchback,2011,5,60000,Hồng,Loại khác,,,FWD - Dẫn động cầu trước,235000000,http://oto.com.vn/mua-ban-xe-kia-morning-da-nang/can-ban-lai-xe-doi-2011-mau-hong-xe-gia-dinh-gia-tot-aidxc2501245
Hyundai,grand-i10,Số tay,Sedan,2017,5,52000,Bạc,Xăng,,,FWD - Dẫn động cầu trước,338000000,http://oto.com.vn/mua-ban-xe-hyundai-grand-i10-bac-giang/can-ban-xe-2017-mau-bac-aidxc2500761
Toyota,corolla-altis,Số tự động,Sedan,2018,5,16000,Nâu,Xăng,,,FWD - Dẫn động cầu trước,670000000,http://oto.com.vn/mua-ban-xe-toyota-corolla-altis-binh-duong/can-ban-xe-18e-san-xuat-2018-xe-di-16-van-ban-670-trieu-aidxc2499354
Chevrolet,spark,Số tự động,Hatchback,2013,5,46000,Xanh lục,,,,,236000000,http://oto.com.vn/mua-ban-xe-chevrolet-spark-ha-noi/ban-san-xuat-2013-so-tu-dong-5-cho-ngoi-aidxc2474597
Ford,escape,Số tự động,SUV,2013,7,58000,Màu khác,Xăng,,,,468000000,http://oto.com.vn/mua-ban-xe-ford-escape-hcm/can-ban-2013-may-xang-2-cau-lh-chinh-chu-0917174050-0913715808-thanh-aidxc2501679
Toyota,innova,Số tay,MPV,2017,7,39000,Bạc,Xăng,,,AWD - 4 bánh toàn thời gian,550000000,http://oto.com.vn/mua-ban-xe-toyota-innova-ha-noi/can-ban-xe-doi-2017-mau-bac-gia-chi-550-trieu-aidxc2501842
Hyundai,santa-fe,Số tự động,SUV,2018,7,20000,Đỏ,Diesel,,,,1100000000,http://oto.com.vn/mua-ban-xe-hyundai-santa-fe-hcm/can-ban-nam-san-xuat-2018-mau-do-aidxc2501841
Bentley,continental,Số tự động,Sedan,2006,5,50000,Xám (ghi),Xăng,,,FWD - Dẫn động cầu trước,1990000000,http://oto.com.vn/mua-ban-xe-bentley-continental-ha-noi/ban-continential-flying-spur-mau-xam-san-xuat-2006-dang-ky-2010-bien-lien-he-0976888978-aidxc2467127
Mercedes-Benz,e-class,Số tự động,Sedan,2014,5,30000,Trắng,Xăng,,,RFD - Dẫn động cầu sau,1060000000,http://oto.com.vn/mua-ban-xe-mercedes-benz-e-class-ha-noi/can-ban-mercedes-e200-nam-san-xuat-2014-mau-trang-aid2418361
Lexus,rx,Số tự động,SUV,2014,5,50000,Trắng,Xăng,,,4WD - Dẫn động 4 bánh,2.388e+09,http://oto.com.vn/mua-ban-xe-lexus-rx-ha-noi/can-ban-350-nam-2014-mau-trang-nhap-khau-aid2425120
Mercedes-Benz,e-class,Số tự động,Sedan,2009,5,135200,Đen,Xăng,,,FWD - Dẫn động cầu trước,638000000,http://oto.com.vn/mua-ban-xe-mercedes-benz-e-class-ha-noi/ban-xe-mercedes-e250-nam-2009-mau-den-xe-dep-xuat-sac-aid2377886
Kia,carens,,CUV,2013,5,65000,Xanh lục,,,,,395000000,http://oto.com.vn/mua-ban-xe-kia-carens-ha-noi/ban-at-sx-20-san-xuat-2013-xe-dep-nhat-aidxc2491271
Kia,k3,,Sedan,2016,5,35000,Đỏ,Xăng,,,,560000000,http://oto.com.vn/mua-ban-xe-kia-k3-ha-noi/can-ban-ban-20-doi-2016-aidxc2475073
Kia,morning,Số tự động,Hatchback,2011,5,60000,Xám (ghi),Xăng,,,FWD - Dẫn động cầu trước,290000000,http://oto.com.vn/mua-ban-xe-kia-morning-ha-noi/can-ban-10at-2011-mau-xam-ghi-nhap-khau-cong-nhan-moi-aid2407202
Ford,escape,Số tự động,SUV,2010,5,60000,Đen,Xăng,,,FWD - Dẫn động cầu trước,370000000,http://oto.com.vn/mua-ban-xe-ford-escape-ha-noi/ban-23-xls-doi-2010-so-tu-dong-bien-so-tp-hcm-aid2396953
Ford,focus,Số tự động,Hatchback,2011,5,68000,Bạc,Xăng,,,,355000000,http://oto.com.vn/mua-ban-xe-ford-focus-hcm/can-ban-xe-san-xuat-2011-mau-bac-gia-chi-365-trieu-aidxc2456436
Kia,morning,Số tự động,Hatchback,2012,5,60000,Xám (ghi),Xăng,,,FWD - Dẫn động cầu trước,355000000,http://oto.com.vn/mua-ban-xe-kia-morning-ha-noi/ban-xe-10at-sport-san-xuat-2012-mau-xam-xe-nhap-form-moi-full-kich-do-aidxc2461313
Toyota,sienna,Số tự động,Van/Minivan,2018,7,9200,Trắng,Xăng,,,AWD - 4 bánh toàn thời gian,3.73e+09,http://oto.com.vn/mua-ban-xe-toyota-sienna-ha-noi/auto-viet-ban-limited-doi-2019-bien-aidxc2487399
Toyota,innova,Số tay,MPV,2006,8,,Đen,Xăng,,,,285000000,http://oto.com.vn/mua-ban-xe-toyota-innova-lam-dong/ban-xe-san-xuat-nam-2006-gia-285tr-aidxc2501845
Lexus,rx,Số tự động,SUV,2012,5,70000,Trắng,Xăng,,,RFD - Dẫn động cầu sau,500000000,http://oto.com.vn/mua-ban-xe-lexus-rx-hcm/ban-450h-nam-san-xuat-2012-mau-den-nhap-khau-nguyen-chiec-gia-500tr-aid2394778
BMW,x5,Số tự động,SUV,2016,7,40000,Trắng,Xăng,,,4WD - Dẫn động 4 bánh,2.65e+09,http://oto.com.vn/mua-ban-xe-bmw-x5-ha-noi/chinh-chu-ban-xe-san-xuat-2016-mau-trang-aid2289559
Nissan,navara,Số tay,Pick-up Truck,2011,5,888888,Đen,Diesel,,,4WD - Dẫn động 4 bánh,345000000,http://oto.com.vn/mua-ban-xe-nissan-navara-vinh-phuc/can-ban-xe-le-san-xuat-nam-2011-mau-den-nhap-khau-aidxc2456550
Kia,sedona,Số tự động,MPV,2015,7,,Bạc,Xăng,,,,820000000,http://oto.com.vn/mua-ban-xe-kia-sedona-hcm/ban-san-xuat-nam-2015-xe-nhap-gia-tot-aidxc2501847
Honda,city,Số tự động,Sedan,2019,5,4000,Trắng,Xăng,,,FWD - Dẫn động cầu trước,599000000,http://oto.com.vn/mua-ban-xe-honda-city-ha-noi/top-15at-san-xuat-2019-sieu-luot-4000km-moi-99-aidxc2494173
Toyota,vios,Số tay,Sedan,2003,5,120000,Xanh lam,Xăng,,,FWD - Dẫn động cầu trước,168000000,http://oto.com.vn/mua-ban-xe-toyota-vios-binh-duong/ban-xe-doi-2003-mau-xanh-lam-gia-chi-168-trieu-aidxc2500950
Lexus,rx,,SUV,2013,5,70000,Trắng,Xăng,,,RFD - Dẫn động cầu sau,560000000,http://oto.com.vn/mua-ban-xe-lexus-rx-hcm/ban-450h-nam-2013-mau-trang-xe-nhap-gia-560tr-aid2394787
Honda,civic,Số tay,Sedan,2008,5,86000,Xám (ghi),Xăng,,,FWD - Dẫn động cầu trước,257000000,http://oto.com.vn/mua-ban-xe-honda-civic-ba-ria-vung-tau/ban-nam-san-xuat-2008-mau-xam-257tr-aidxc2500957
Ford,ecosport,Số tự động,SUV,2016,5,50000,Trắng,Xăng,,,FWD - Dẫn động cầu trước,489000000,http://oto.com.vn/mua-ban-xe-ford-ecosport-ha-noi/15-titanium-2016-cuc-ky-dep-dong-gam-cao-tam-gia-qua-hop-ly-aidxc2494228
Mitsubishi,jolie,,SUV,2003,7,,Xám (ghi),Xăng,,,,90000000,http://oto.com.vn/mua-ban-xe-mitsubishi-jolie-hcm/can-ban-xe-cu-nam-san-xuat-2003-gia-90tr-aidxc2501126
Hyundai,i30,Số tự động,Hatchback,2011,5,68000,Đỏ,Xăng,,,FWD - Dẫn động cầu trước,390000000,http://oto.com.vn/mua-ban-xe-hyundai-i30-ha-noi/ban-cw-nam-2011-mau-do-nhap-khau-nguyen-chiec-aidxc2494272
Mitsubishi,pajero,Số tay,SUV,2008,5,120000,Bạc,Xăng,,,4WD - Dẫn động 4 bánh,299000000,http://oto.com.vn/mua-ban-xe-mitsubishi-pajero-ha-noi/can-ban-san-xuat-2008-mau-bac-nhap-khau-nhat-ban-so-san-aidxc2501093
Daewoo,matiz,Số tay,Hatchback,2000,5,,Bạc,Xăng,,,,65000000,http://oto.com.vn/mua-ban-xe-daewoo-matiz-an-giang/can-ban-xe-2000-mau-bac-nhap-khau-0913826525-aidxc2491663
Hyundai,accent,Số tay,Sedan,2018,5,11000,Nâu,Xăng,,,FWD - Dẫn động cầu trước,476000000,http://oto.com.vn/mua-ban-xe-hyundai-accent-hcm/14mt-2018-ban-dac-biet-mau-nau-sieu-luot-bien-tp-gia-tl-ho-tro-tra-gop-aidxc2499684
Kia,sportage,Số tự động,SUV,2011,5,58000,Đen,Xăng,,,,538000000,http://oto.com.vn/mua-ban-xe-kia-sportage-ha-noi/ban-o-to-limited-20-at-nam-2011-mau-den-aid2385696
Kia,morning,Số tay,Hatchback,2012,5,,Bạc,Xăng,,,,145000000,http://oto.com.vn/mua-ban-xe-kia-morning-ha-noi/can-ban-doi-2012-gia-canh-tranh-aidxc2501849
Hyundai,grand-i10,Số tự động,Hatchback,2019,5,3000,Trắng,Xăng,,,FWD - Dẫn động cầu trước,408000000,http://oto.com.vn/mua-ban-xe-hyundai-grand-i10-hcm/ban-hatchback-12at-2019-xe-luot-sieu-moi-aidxc2491363
Toyota,innova,Số tay,MPV,2017,7,53000,Bạc,Xăng,,,RFD - Dẫn động cầu sau,690000000,http://oto.com.vn/mua-ban-xe-toyota-innova-hcm/20e-ho-tro-chi-phi-thu-tuc-sang-ten-gia-thoa-thuan-aid2371110
Ford,everest,Số tay,SUV,2005,7,,Đen,Loại khác,,,,219000000,http://oto.com.vn/mua-ban-xe-ford-everest-dak-lak/ban-san-xuat-2005-may-daunoi-ngoai-that-sach-se-aidxc2501727
Acura,zdx,Số tự động,SUV,2011,5,58000,Đen,Xăng,,,4WD - Dẫn động 4 bánh,1090000000,http://oto.com.vn/mua-ban-xe-acura-zdx-hcm/nhap-my-2011-mau-den-hang-full-cao-cap-du-do-choi-khong-thieu-aidxc2476337
Ford,ranger,Số tự động,Pick-up Truck,2017,5,58000,Trắng,Diesel,,,RFD - Dẫn động cầu sau,569000000,http://oto.com.vn/mua-ban-xe-ford-ranger-hcm/ban-xe-nam-2017-mau-trang-con-moi-gia-chi-569-trieu-dong-aidxc2476593
Lexus,gx,Số tự động,SUV,2015,8,38000,Đỏ,Xăng,,4600,4WD - Dẫn động 4 bánh,3.58e+09,http://oto.com.vn/mua-ban-xe-lexus-gx-ha-noi/ban-460-san-xuat-2015-mau-do-man-xe-cuc-chat-lh-0905098888-0982842838-aid2377408
Toyota,venza,Số tự động,CUV,2011,5,30000,Nâu,Xăng,,3500,,900000000,http://oto.com.vn/mua-ban-xe-toyota-venza-hcm/ban-o-to-35-awd-doi-2011-lh-0933222229-aidxc2448400
Mercedes-Benz,e-class,Số tự động,Sedan,2011,5,68000,Trắng,Xăng,,,FWD - Dẫn động cầu trước,819000000,http://oto.com.vn/mua-ban-xe-mercedes-benz-e-class-ha-noi/ban-e250-cgi-nam-2011-mau-trang-aid2293936
Mercedes-Benz,c-class,Số tự động,Sedan,2009,5,,Đen,Loại khác,,,,630000000,http://oto.com.vn/mua-ban-xe-mercedes-benz-c-class-hcm/ban-xe-cu-mercedes-2009-xe-nhap-gia-chi-630-trieu-aidxc2501125
Toyota,fortuner,Số tay,SUV,2017,7,55000,Nâu,Diesel,,,RFD - Dẫn động cầu sau,885000000,http://oto.com.vn/mua-ban-xe-toyota-fortuner-binh-duong/ban-25-g-2017-mau-nau-xe-nhap-aidxc2499820
Lexus,lx,Số tự động,SUV,2018,8,8000,Trắng,Xăng,,,AWD - 4 bánh toàn thời gian,8.68e+09,http://oto.com.vn/mua-ban-xe-lexus-lx-ha-noi/auto-viet-ban-570-nhap-my-mau-trang-2018-aidxc2491464
Hyundai,i30,Số tự động,Hatchback,2009,5,90000,Đỏ,Xăng,,,FWD - Dẫn động cầu trước,310000000,http://oto.com.vn/mua-ban-xe-hyundai-i30-ha-noi/doi-2009-mau-do-nhap-khau-nguyen-chiec-aidxc2499714
Hyundai,i20,Số tự động,Hatchback,2012,5,,Bạc,Xăng,,,,315000000,http://oto.com.vn/mua-ban-xe-hyundai-i20-thai-binh/can-ban-gap-doi-2012-mau-bac-nhap-khau-nguyen-chiec-aidxc2501383
Mitsubishi,jolie,,SUV,2002,8,,Xám (ghi),Xăng,,,,0,http://oto.com.vn/mua-ban-xe-mitsubishi-jolie-nam-dinh/can-ban-xe-nam-san-xuat-2002-mau-xam-xe-nhap-aidxc2501388
Toyota,hiace,Số tay,Van/Minivan,2007,3,90000,Bạc,Diesel,,,,260000000,http://oto.com.vn/mua-ban-xe-toyota-hiace-vinh-phuc/ban-xe-25-doi-2007-mau-bac-aid2301319
LandRover,range-rover,Số tự động,SUV,2015,5,22000,Hai màu,Xăng,,,,4.98e+09,http://oto.com.vn/mua-ban-xe-landrover-range-rover-ha-noi/ban-hse-30-model-2016-mau-trang-nhap-my-full-option-aid2253967
Peugeot,408,Số tự động,Sedan,2017,5,,Đen,Xăng,,,,575000000,http://oto.com.vn/mua-ban-xe-peugeot-408-da-nang/can-ban-gap-doi-2017-mau-den-aidxc2501387
Hyundai,grand-i10,,Hatchback,2014,5,,Bạc,Xăng,,,,255000000,http://oto.com.vn/mua-ban-xe-hyundai-grand-i10-thanh-hoa/can-ban-2014-mau-bac-nhap-khau-nguyen-chiec-255tr-aidxc2498674
Mazda,2,Số tự động,Sedan,2017,5,40000,Đỏ,Loại khác,,,FWD - Dẫn động cầu trước,475000000,http://oto.com.vn/mua-ban-xe-mazda-2-ha-noi/ban-xe-017-mau-do-nhu-moi-gia-canh-tranh-aidxc2498695
Toyota,camry,Số tay,Sedan,1998,5,200000,Xanh lam,Xăng,,,FWD - Dẫn động cầu trước,195000000,http://oto.com.vn/mua-ban-xe-toyota-camry-ba-ria-vung-tau/can-ban-lai-xe-doi-1998-mau-xanh-lam-nhap-khau-chinh-chu-gia-195tr-aidxc2498711
Kia,morning,Số tay,Hatchback,2016,5,64000,Trắng,Xăng,,,FWD - Dẫn động cầu trước,275000000,http://oto.com.vn/mua-ban-xe-kia-morning-hcm/ban-o-to-2016-mau-trang-chinh-chu-aidxc2498686
Cadillac,sts,Số tự động,Sedan,2010,5,85000,Xanh lam,Xăng,,,4WD - Dẫn động 4 bánh,595000000,http://oto.com.vn/mua-ban-xe-cadillac-sts-hcm/nhap-my-2010-hang-full-du-do-choi-nut-de-startstop-hai-cua-so-troi-aid2310580
